po_number,vendor_id,prd_id,quantity_ordered,unit_cost,order_date
PO-001145,,386,108,337,2021-04-01
PO-001146,VND-034,485,22,131.17,2011-02-08
PO-001147,VND-140,309,179,474.65,2020-03-30
PO-001148,VND-114,572,105,$26.21,2015-08-05
PO-001149,,581,1,490.16,2013-10-16
PO-001150,VND-029,518,220,55.71,2014-03-15
PO-001151,VND-073,603,152,109.65,2017-01-25
PO-001152,VND-007,517,67,430.98,2020-03-27
PO-001153,VND-095,210,45,382.95,2024-08-11
PO-001154,VND-105,479,194,62,10/06/2024
PO-001155,VND-106,494,229,423.7,2016-04-26
PO-001156,VND-003,574,207,282.18,2016-12-18
PO-001157,VND-117,479,197,$105.53,05/15/2013
PO-001158,VND-072,258,53,224.38,2024-03-31
PO-001159,VND-032,438,195,11.89,2022-06-26
PO-001160,VND-084,217,29,183,2016-03-20
PO-001161,VND-026,549,35,394.82,05/26/2020
PO-001162,VND-139,398,60,,2016-11-16
PO-001163,VND-020,211,72,33.02,2018-12-27
PO-001164,VND-037,306,41,498.93,2024-04-08
PO-001165,VND-009,569,158,477.6,05/10/2023
PO-001166,VND-076,529,4.1,79.76,2014-03-27
PO-001167,VND-080,514,46,495.97,09/26/2016
PO-001168,VND-002,477,178,110.92,2014-03-26
PO-001169,VND-086,249,2.0,54.11,2013-06-02
PO-001170,VND-022,549,178,32.76,02/16/2012
PO-001171,,495,61,402.28,2011-10-15
PO-001172,VND-028,514,150,172.79,2012-07-28
PO-001173,,303,35,399.98,01/08/2018
PO-001174,VND-030,567,49,$22.13,2011-08-01
PO-001175,VND-029,548,145,257.11,08/05/2014
PO-001176,VND-026,359,4.5,461.41,09/29/2019
PO-001177,VND-068,355,141,$482.38,2020-02-21
PO-001178,VND-043,472,38,$380.99,2011-02-21
PO-001179,VND-021,298,4,94.64,12/15/2013
PO-001180,VND-021,597,171,293.75,2017-01-19
PO-001181,VND-065,404,6,95.4,2021-01-02
PO-001182,VND-031,372,21,303.33,2018-12-02
PO-001183,,583,243,347.56,2023-07-01
PO-001184,VND-006,372,148,163.24,11/13/2018
PO-001185,VND-013,398,139,,01/16/2024
PO-001186,VND-110,547,66,216.84,05/28/2017
PO-001187,VND-019,438,16,,2022-07-10
PO-001188,VND-036,228,60,330.39,01/14/2017
PO-001189,VND-006,535,217,47.45,2023-08-30
PO-001190,VND-101,595,239,$447.4,02/17/2012
PO-001191,VND-100,570,51,$489.93,2019-10-25
PO-001192,VND-037,524,11,63.05,2017-01-12
PO-001193,VND-038,520,183,N/A,2022-11-02
PO-001194,VND-100,535,191,12.2,09/25/2014
PO-001195,VND-105,440,0.6,191.57,01/13/2011
PO-001196,VND-082,355,1,288.01,01/17/2020
PO-001197,VND-018,513,6,428.66,2013-01-07
PO-001198,VND-087,382,36,104.76,2023-09-25
PO-001199,VND-106,557,190,27.14,2024-01-20
PO-001200,VND-117,290,222,,2018-07-22
PO-001201,VND-007,246,3.4,N/A,2016-10-14
PO-001202,VND-034,521,25,125.94,2017-03-21
PO-001203,VND-012,491,155,187.84,2013-02-26
PO-001204,VND-080,489,5,133.59,03/30/2022
PO-001205,VND-103,492,72,19.84,2011-04-09
PO-001206,VND-035,482,181,205.19,2023-11-22
PO-001207,VND-077,376,165,406.01,2012-03-15
PO-001208,VND-095,539,36,259.1,2023-02-03
PO-001209,VND-022,510,136,444.19,2017-06-25
PO-001210,VND-064,463,92,100.36,2018-04-14
PO-001211,VND-062,222,0.9,496.28,2015-12-26
PO-001212,VND-046,353,176,39.37,2014-02-16
PO-001213,VND-003,483,229,442.27,2018-05-05
PO-001214,VND-009,477,7,68.25,2024-06-29
PO-001215,VND-005,295,191,,2014-03-20
PO-001216,VND-087,519,0.9,452.7,11/07/2013
PO-001217,,598,193,478.08,05/24/2019
PO-001218,VND-099,243,79,447.45,10/19/2016
PO-001219,VND-119,572,212,59,2020-05-25
PO-001220,VND-050,537,205,106.45,2018-06-20
PO-001221,VND-036,467,247,248.13,2022-01-11
PO-001222,VND-044,603,174,232.13,10/17/2014
PO-001223,VND-001,540,108,196.78,2019-11-04
PO-001224,VND-119,372,20,323,12/23/2019
PO-001225,VND-060,540,70,$150.26,2020-03-02
PO-001226,VND-081,255,93,209.33,10/21/2012
PO-001227,VND-079,533,250,121.47,06/12/2022
PO-001228,VND-043,595,190,$276.1,09/13/2015
PO-001229,VND-109,573,65,376.85,2014-05-20
PO-001230,VND-025,222,169,401.51,2016-10-04
PO-001231,VND-014,581,127,$275.62,2012-12-21
PO-001232,VND-001,581,79,340.2,04/17/2014
PO-001233,VND-070,402,136,295.41,2022-03-23
PO-001234,VND-055,476,5,53.68,2011-07-10
PO-001235,VND-023,504,169,45.72,2011-12-25
PO-001236,VND-018,591,80,475.78,2016-07-17
PO-001237,VND-014,592,224,31.17,2016-05-17
PO-001238,VND-134,432,115,298.15,2014-08-29
PO-001239,VND-112,480,0.6,468.71,02/10/2012
PO-001240,VND-095,537,151,$382.15,2016-05-25
PO-001241,VND-015,571,227,,01/09/2012
PO-001242,VND-085,602,185,53.77,2018-12-16
PO-001243,VND-046,503,161,106.99,2021-06-19
PO-001244,VND-024,590,121,,2016-01-05
PO-001245,VND-001,530,120,32.84,2020-12-13
PO-001246,VND-015,519,3.9,309.71,07/06/2013
PO-001247,VND-028,583,195,493.98,2014-06-20
PO-001248,VND-075,430,215,226.47,2021-12-31
PO-001249,VND-001,404,141,362.78,2013-05-18
PO-001250,VND-070,234,3.7,150.11,11/22/2018
PO-001251,VND-054,406,212,294.61,01/10/2014
PO-001252,VND-105,507,217,202.21,2019-08-16
PO-001253,VND-094,584,112,63.61,2019-09-22
PO-001254,VND-021,295,189,206.25,2019-03-07
PO-001255,VND-001,532,56,27.98,04/04/2014
PO-001256,VND-108,386,55,348.94,2022-09-21
PO-001257,VND-040,548,129,16.67,2015-12-25
PO-001258,VND-083,284,81,N/A,2013-05-27
PO-001259,VND-011,506,94,$358.58,04/06/2013
PO-001260,VND-109,472,223,446,2017-07-10
PO-001261,VND-013,210,210,381.72,12/13/2017
PO-001262,VND-022,535,207,215.12,06/07/2020
PO-001263,VND-077,496,196,,2018-03-06
PO-001264,VND-061,536,26,298.18,03/31/2023
PO-001265,VND-047,502,97,N/A,2022-03-01
PO-001266,VND-032,597,40,149.9,06/04/2024
PO-001267,VND-058,528,10,223.56,2019-04-18
PO-001268,VND-128,528,99,$378.58,2015-07-26
PO-001269,VND-099,255,125,489.46,2016-02-27
PO-001270,VND-041,281,129,N/A,2015-03-02
PO-001271,VND-023,554,67,$200.24,2015-01-23
PO-001272,VND-026,552,77,234,2014-04-23
PO-001273,VND-061,577,175,241.73,2016-08-15
PO-001274,VND-029,596,236,211.7,2015-08-19
PO-001275,VND-073,520,214,30.8,07/16/2024
PO-001276,VND-072,543,152,92.3,2011-09-05
PO-001277,VND-036,211,7,472.08,2019-04-24
PO-001278,VND-080,517,245,,2014-04-01
PO-001279,VND-035,214,175,164.23,2021-01-29
PO-001280,VND-064,537,89,220.99,2021-08-16
PO-001281,VND-108,544,217,108.98,2011-08-15
PO-001282,VND-029,404,1.4,80,2013-12-02
PO-001283,VND-116,528,167,,2013-05-21
PO-001284,VND-015,518,200,310.31,2013-09-15
PO-001285,VND-117,551,142,190.52,07/23/2013
PO-001286,VND-002,436,207,19.65,2020-07-12
PO-001287,VND-079,550,5.4,,2020-04-08
PO-001288,VND-116,284,3.2,N/A,2019-12-01
PO-001289,VND-112,287,50,390.37,06/08/2011
PO-001290,VND-041,559,48,232.12,2011-03-30
PO-001291,VND-031,355,113,142.93,2017-04-09
PO-001292,VND-001,548,145,201.86,06/02/2016
PO-001293,VND-140,499,157,$277.27,2016-10-31
PO-001294,VND-084,444,180,380.26,2024-07-15
PO-001295,VND-080,359,57,28.64,12/13/2012
PO-001296,VND-009,363,184,200.59,2023-08-19
PO-001297,VND-024,551,92,306,2014-11-07
PO-001298,VND-082,505,4.0,275.34,2024-12-25
PO-001299,VND-068,503,217,N/A,2011-01-23
PO-001300,,593,145,437,2023-03-28
PO-001301,VND-106,284,199,$153.15,01/16/2012
PO-001302,,476,234,116.46,11/24/2024
PO-001303,VND-034,434,246,181.97,2018-10-25
PO-001304,VND-112,494,250,311.0,2019-05-24
PO-001305,VND-109,593,9,205.39,2018-07-28
PO-001306,VND-040,587,160,389.0,2023-06-08
PO-001307,VND-034,510,152,8.59,2014-08-21
PO-001308,VND-101,547,60,416.67,10/12/2018
PO-001309,VND-081,252,86,$199.45,01/22/2017
PO-001310,VND-020,252,63,210,2024-09-20
PO-001311,VND-082,505,17,,2021-10-16
PO-001312,VND-037,574,53,,2024-05-08
PO-001313,VND-026,511,180,243.4,2013-03-12
PO-001314,VND-058,480,39,256.8,12/28/2019
PO-001315,VND-021,589,3.5,405.28,2016-08-25
PO-001316,VND-023,578,137,,2011-02-06
PO-001317,VND-027,390,17,118.98,2014-01-30
PO-001318,VND-037,436,36,321.72,2011-03-23
PO-001319,VND-060,534,119,134.16,2012-02-09
PO-001320,VND-101,474,40,261,2013-11-05
PO-001321,VND-093,492,139,$297.4,2016-09-14
PO-001322,VND-076,533,111,194.19,2011-03-02
PO-001323,VND-104,398,143,52.16,09/08/2015
PO-001324,VND-064,593,75,145,2012-04-13
PO-001325,VND-070,501,136,370.71,2022-08-28
PO-001326,VND-097,532,202,371.13,2018-03-11
PO-001327,VND-081,398,237,391.17,10/25/2021
PO-001328,VND-081,510,41,435.44,2019-05-16
PO-001329,VND-049,596,240,88.16,05/20/2013
PO-001330,VND-077,515,195,94.24,2017-09-22
PO-001331,VND-034,480,146,299.04,10/20/2014
PO-001332,VND-057,510,178,71.52,2024-07-31
PO-001333,VND-047,249,93,96.63,2016-11-18
PO-001334,VND-003,593,20,381.33,2017-05-24
PO-001335,VND-028,547,35,419.0,2016-07-05
PO-001336,VND-119,211,108,482,2024-04-10
PO-001337,VND-006,492,103,344.12,2021-05-07
PO-001338,VND-059,372,56,358.05,2012-03-25
PO-001339,VND-032,528,70,225.12,2011-05-01
PO-001340,VND-093,355,223,,04/16/2014
PO-001341,,568,183,220.46,2013-07-28
PO-001342,VND-053,499,210,458.12,2015-06-27
PO-001343,VND-091,509,123,462,01/03/2015
PO-001344,VND-095,436,155,313.72,2011-09-17
PO-001345,VND-112,261,220,258.24,2017-03-22
PO-001346,VND-068,568,49,350.18,2012-12-09
PO-001347,VND-031,523,198,385.45,2014-10-13
PO-001348,VND-107,495,129,$288.44,2017-01-09
PO-001349,VND-041,547,58,381.73,2011-03-30
PO-001350,VND-134,529,133,354.52,2023-09-26
PO-001351,VND-001,562,129,N/A,2011-04-10
PO-001352,VND-037,400,186,164.04,2018-01-07
PO-001353,VND-006,558,123,134.62,2011-05-12
PO-001354,VND-089,572,25,230.53,11/01/2017
PO-001355,VND-030,527,4.1,377.46,09/20/2022
PO-001356,VND-035,516,34,196.91,2018-11-18
PO-001357,VND-108,261,77,,2023-05-31
PO-001358,VND-102,565,241,229.14,05/12/2019
PO-001359,VND-016,214,79,350.26,2014-09-29
PO-001360,VND-041,467,193,,2023-08-10
PO-001361,VND-034,523,109,126.6,2011-10-27
PO-001362,VND-092,438,2.5,444.39,2021-11-01
PO-001363,VND-026,517,220,289.44,2014-01-16
PO-001364,VND-106,541,166,167.9,2012-10-27
PO-001365,VND-112,243,193,210.28,2018-05-23
PO-001366,VND-095,568,129,$493.77,2014-10-17
PO-001367,VND-088,492,217,154.83,2018-01-23
PO-001368,VND-009,477,144,351.58,2013-08-24
PO-001369,VND-060,231,53,35.29,2020-01-02
PO-001370,VND-093,217,242,$292.77,08/27/2014
PO-001371,VND-012,582,209,84.07,2022-06-01
PO-001372,VND-045,606,206,49.77,2014-06-14
PO-001373,VND-115,488,44,149.51,2011-02-19
PO-001374,VND-092,467,23,122.52,2024-04-06
PO-001375,VND-016,482,145,212.18,2024-06-28
PO-001376,VND-010,567,138,5.99,2019-07-14
PO-001377,VND-037,465,132,142.58,08/14/2024
PO-001378,VND-108,587,190,363.72,2012-03-20
PO-001379,VND-001,508,245,333.35,2021-07-29
PO-001380,VND-073,558,195,,2018-09-16
PO-001381,VND-035,558,169,425.71,2019-07-07
PO-001382,,524,30,468.77,05/15/2018
PO-001383,VND-007,524,53,316.41,2020-03-31
PO-001384,VND-055,382,154,286,2012-06-21
PO-001385,VND-117,544,243,426.08,2017-08-21
PO-001386,VND-081,496,48,236.13,2022-07-31
PO-001387,VND-001,518,176,301.92,09/08/2012
PO-001388,VND-065,513,4,267.54,06/21/2013
PO-001389,VND-062,252,206,461.8,2016-05-20
PO-001390,VND-030,493,98,96.02,2016-12-07
PO-001391,VND-067,211,3,151.14,2022-09-15
PO-001392,VND-091,505,153,49.56,03/14/2014
PO-001393,VND-034,214,233,228.42,12/31/2015
PO-001394,VND-052,576,1,378.34,2012-04-26
PO-001395,VND-105,586,91,350.71,2018-02-20
PO-001396,VND-096,546,203,471.11,2022-03-30
PO-001397,VND-115,589,225,,2016-06-14
PO-001398,VND-098,555,128,187.87,08/31/2013
PO-001399,VND-028,363,10,404.36,2019-12-22
PO-001400,VND-056,482,34,158.65,01/06/2025
PO-001401,VND-008,475,135,87.06,2014-11-27
PO-001402,VND-053,516,248,466.05,2024-11-26
PO-001403,VND-048,506,152,,12/20/2014
PO-001404,VND-101,564,188,111.59,06/18/2014
PO-001405,VND-055,552,182,307.4,2021-09-16
PO-001406,,361,135,264.01,09/23/2020
PO-001407,VND-114,473,52,374.29,08/22/2016
PO-001408,VND-019,513,0.5,152.26,2024-06-12
PO-001409,VND-021,567,242,397.24,2021-06-17
PO-001410,VND-040,597,19,63.51,2016-02-02
PO-001411,VND-022,572,121,297.76,2023-11-23
PO-001412,VND-053,486,202,350.16,2018-05-04
PO-001413,VND-097,576,133,171.73,2011-04-04
PO-001414,VND-058,519,205,471.92,2023-10-16
PO-001415,VND-079,549,210,493.93,2024-11-30
PO-001416,VND-001,290,94,467.95,2022-12-23
PO-001417,VND-073,520,123,383.42,02/29/2020
PO-001418,VND-001,489,241,132.53,2017-07-06
PO-001419,VND-011,578,170,425.96,2018-02-17
PO-001420,VND-068,430,19,485.49,2012-02-29
PO-001421,VND-080,605,248,349.03,05/25/2020
PO-001422,VND-011,561,124,232.51,2024-02-04
PO-001423,VND-119,489,115,306.42,02/15/2015
PO-001424,VND-060,601,107,N/A,01/24/2022
PO-001425,VND-001,587,106,389.81,2018-01-26
PO-001426,VND-095,552,250,244.24,2021-07-27
PO-001427,VND-082,498,91,485.94,2014-09-25
PO-001428,VND-049,540,2.2,365.82,08/24/2012
PO-001429,VND-061,476,205,336.19,2018-03-14
PO-001430,VND-008,575,122,146.1,2013-08-16
PO-001431,VND-044,489,71,394,2011-04-14
PO-001432,VND-012,548,1.5,385.63,03/31/2023
PO-001433,VND-051,549,176,326,11/23/2011
PO-001434,VND-075,548,2.4,350.42,2011-06-22
PO-001435,VND-059,591,222,122.18,2019-07-28
PO-001436,VND-027,564,77,15.23,12/18/2013
PO-001437,VND-117,520,130,304.53,2012-03-13
PO-001438,VND-007,583,154,50.86,12/15/2011
PO-001439,VND-040,442,52,455.68,02/10/2025
PO-001440,VND-046,547,87,174.74,06/29/2019
PO-001441,VND-018,355,104,497.13,05/28/2016
PO-001442,VND-044,444,121,240.64,07/25/2014
PO-001443,VND-041,532,246,$432.45,2019-02-24
PO-001444,VND-028,287,17,374.22,02/01/2014
PO-001445,VND-034,557,225,$402.93,11/02/2023
PO-001446,VND-026,473,195,461.81,2013-12-19
PO-001447,VND-053,281,78,190.12,04/22/2011
PO-001448,,509,13,407.24,2021-01-21
PO-001449,VND-033,521,95,366.81,12/07/2011
PO-001450,VND-058,478,160,64.74,12/19/2012
PO-001451,VND-063,390,4.1,75.87,2024-02-27
PO-001452,VND-023,586,242,188.66,2024-08-23
PO-001453,VND-119,355,212,199.25,2024-05-26
PO-001454,VND-020,528,209,483,2022-12-18
PO-001455,VND-037,571,36,146.49,2018-03-20
PO-001456,VND-040,494,24,13.06,2024-07-26
PO-001457,VND-048,571,55,420.29,2023-04-17
PO-001458,VND-055,386,153,$188.64,2018-05-28
PO-001459,VND-044,589,4,406.75,2024-10-29
PO-001460,VND-043,548,115,227.21,2020-06-02
PO-001461,VND-055,222,91,$36.13,2020-06-15
PO-001462,VND-103,584,2.7,319.23,2011-08-11
PO-001463,VND-044,518,3.1,189.84,2022-02-23
PO-001464,VND-111,561,114,33.02,2017-10-11
PO-001465,VND-050,438,208,469.79,12/04/2016
PO-001466,VND-135,527,239,380.44,02/02/2024
PO-001467,VND-059,600,217,292.46,2023-11-29
PO-001468,VND-077,467,83,249.97,2019-09-17
PO-001469,VND-077,211,120,96.94,2023-07-20
PO-001470,VND-110,597,68,7.96,2021-09-22
PO-001471,VND-005,564,126,98.88,08/23/2023
PO-001472,VND-030,584,145,212,2024-07-16
PO-001473,VND-078,374,196,200.42,11/24/2011
PO-001474,VND-120,561,67,239.33,2021-04-27
PO-001475,VND-075,496,12,344.58,2014-07-30
PO-001476,VND-001,258,49,400.2,2013-02-08
PO-001477,VND-042,536,155,78.93,2017-07-31
PO-001478,VND-045,290,69,67.78,2021-11-02
PO-001479,VND-079,586,18,479.9,2020-12-04
PO-001480,VND-054,482,55,96.23,01/31/2011
PO-001481,VND-022,363,120,105.86,2025-01-10
PO-001482,VND-006,511,77,19.0,05/10/2022
PO-001483,VND-050,249,205,309.11,2011-01-29
PO-001484,VND-020,571,187,$321.96,04/17/2022
PO-001485,VND-019,536,173,219.99,09/03/2017
PO-001486,VND-058,526,96,6.2,03/25/2019
PO-001487,,240,104,256.64,08/02/2014
PO-001488,VND-109,477,187,288.97,2020-01-19
PO-001489,VND-082,436,237,295.6,05/06/2024
PO-001490,VND-117,548,216,409,2021-11-12
PO-001491,VND-070,519,4.1,,06/05/2024
PO-001492,VND-083,589,54,211.39,04/27/2011
PO-001493,VND-019,600,152,193.6,2017-08-26
PO-001494,VND-081,590,137,$41.94,07/09/2014
PO-001495,VND-040,553,59,7.02,2013-05-04
PO-001496,VND-096,388,50,$486.22,2021-02-06
PO-001497,VND-042,400,238,173.8,2017-10-27
PO-001498,VND-010,541,135,482.77,2022-04-21
PO-001499,VND-090,533,3.7,153,2022-10-17
PO-001500,VND-134,284,52,131.43,2022-09-17
PO-001501,VND-102,557,249,N/A,2019-12-28
PO-001502,VND-045,541,114,285.85,07/20/2011
PO-001503,VND-076,471,220,459.57,2015-04-29
PO-001504,VND-008,549,4.8,195.17,2019-11-10
PO-001505,VND-049,491,176,475.79,2013-03-21
PO-001506,VND-045,493,92,,2022-09-22
PO-001507,VND-059,480,0.8,172.1,11/11/2014
PO-001508,VND-119,372,15,210.29,2020-04-22
PO-001509,VND-025,475,67,258.58,2018-04-17
PO-001510,,432,105,,08/22/2017
PO-001511,VND-032,491,223,36.44,2011-05-20
PO-001512,VND-007,569,240,458.57,2016-07-01
PO-001513,VND-017,587,13,369.26,2020-03-22
PO-001514,VND-038,601,1.8,294.02,2024-08-26
PO-001515,VND-065,562,217,,06/26/2012
PO-001516,VND-037,496,143,108.82,2021-12-03
PO-001517,VND-042,491,119,377.99,2017-01-23
PO-001518,VND-071,217,128,476.9,2022-01-14
PO-001519,VND-081,570,12,491.38,2011-06-04
PO-001520,VND-021,576,220,120.47,2024-11-02
PO-001521,VND-105,376,72,436.15,2022-11-24
PO-001522,VND-032,303,113,238.23,2018-01-01
PO-001523,VND-050,357,18,215.55,2021-04-28
PO-001524,VND-028,210,194,420.35,2022-09-21
PO-001525,VND-096,541,71,213.04,2022-08-30
PO-001526,VND-058,231,93,191.49,2015-12-06
PO-001527,VND-057,533,133,425.41,2017-04-12
PO-001528,VND-026,561,248,342.28,2011-01-21
PO-001529,VND-110,605,139,150.98,2022-11-17
PO-001530,VND-115,497,107,298.89,2019-07-23
PO-001531,VND-033,374,37,239.51,2020-06-05
PO-001532,VND-005,382,59,414.62,2022-04-10
PO-001533,VND-037,592,164,337.19,2020-08-10
PO-001534,VND-081,492,19,225.36,2021-06-14
PO-001535,VND-073,284,225,N/A,2018-01-15
PO-001536,VND-102,436,17,37.08,2011-11-22
PO-001537,VND-042,504,156,$315.46,2012-04-20
PO-001538,VND-036,550,106,16.31,2023-05-03
PO-001539,VND-055,287,152,58.84,2011-05-19
PO-001540,,495,141,N/A,2024-07-07
PO-001541,VND-089,548,100,N/A,06/21/2014
PO-001542,VND-020,228,126,203.89,2013-03-16
PO-001543,,359,3.4,390.77,2024-05-14
PO-001544,VND-084,465,232,333.06,03/25/2014
PO-001545,VND-062,243,81,247.96,2017-10-24
PO-001546,VND-072,596,250,180.39,2024-10-10
PO-001547,VND-101,306,216,$449.9,2021-12-02
PO-001548,VND-087,240,197,339.68,2018-03-30
PO-001549,VND-073,532,173,N/A,2013-11-06
PO-001550,VND-038,477,2.3,108.57,02/21/2017
PO-001551,VND-140,533,167,,2017-12-25
PO-001552,VND-089,492,51,495.29,2014-06-02
PO-001553,VND-114,546,191,321.24,01/29/2025
PO-001554,VND-075,249,37,486.89,02/06/2021
PO-001555,VND-058,541,106,299,01/27/2025
PO-001556,VND-032,518,110,421,2011-07-22
PO-001557,VND-020,566,56,$255.49,2020-09-08
PO-001558,VND-068,503,235,455.46,2013-09-02
PO-001559,VND-071,510,199,356.78,2020-11-06
PO-001560,VND-051,590,165,411.71,2012-12-27
PO-001561,VND-119,598,141,370.74,2017-09-24
PO-001562,VND-053,228,234,149.36,2024-01-29
PO-001563,VND-053,402,89,288.29,2021-07-24
PO-001564,VND-067,478,237,,2012-11-05
PO-001565,VND-047,217,230,259.24,2012-06-05
PO-001566,VND-089,483,26,382.79,08/30/2023
PO-001567,VND-009,590,210,348.53,10/03/2021
PO-001568,,363,185,N/A,2017-06-15
PO-001569,VND-033,432,8,$215.25,06/22/2017
PO-001570,VND-102,231,166,355.0,2018-10-20
PO-001571,VND-057,506,32,191.89,2023-07-06
PO-001572,VND-001,376,192,124.05,2020-10-07
PO-001573,VND-118,363,179,142,2011-09-20
PO-001574,,436,249,114.25,2023-03-17
PO-001575,VND-003,303,116,167.06,2019-01-12
PO-001576,VND-018,480,158,126.43,03/11/2017
PO-001577,VND-118,511,112,,2012-05-28
PO-001578,VND-016,550,126,$192.91,2019-06-15
PO-001579,VND-049,598,98,,2024-02-10
PO-001580,VND-023,573,176,426.15,2018-12-26
PO-001581,VND-007,228,220,475,01/29/2013
PO-001582,,402,86,365.66,04/03/2018
PO-001583,VND-094,475,103,94.38,01/29/2017
PO-001584,VND-042,530,245,130.08,2016-02-17
PO-001585,VND-096,290,124,415.58,2019-06-24
PO-001586,VND-096,560,133,412.83,2013-01-30
PO-001587,VND-002,484,2.1,250.3,2014-01-02
PO-001588,VND-008,588,96,34.59,2013-02-15
PO-001589,VND-034,290,150,50.59,2023-01-08
PO-001590,VND-075,515,27,12,2016-02-18
PO-001591,VND-126,303,3.8,163.44,2023-04-21
PO-001592,VND-117,249,141,6.14,06/01/2018
PO-001593,VND-034,594,242,354.83,2023-12-20
PO-001594,,406,48,226,01/25/2020
PO-001595,VND-003,582,213,147.71,2018-07-08
PO-001596,VND-005,513,10,42.32,2017-06-27
PO-001597,VND-003,303,103,128.68,03/16/2024
PO-001598,VND-020,374,9,123,08/25/2022
PO-001599,VND-092,402,2.4,52.32,2024-03-02
PO-001600,VND-118,284,54,156.84,2024-10-08
PO-001601,VND-089,400,133,486.56,04/07/2013
PO-001602,VND-083,475,221,145.24,2014-07-20
PO-001603,VND-055,486,77,216.96,2017-10-28
PO-001604,VND-059,519,45,366.19,2016-11-30
PO-001605,VND-104,526,122,434.15,2018-12-31
PO-001606,VND-087,502,121,N/A,2023-11-06
PO-001607,VND-025,508,104,169.6,01/24/2013
PO-001608,VND-053,386,64,N/A,2016-12-31
PO-001609,VND-057,486,122,$187.89,2024-11-23
PO-001610,VND-023,483,200,143,01/17/2024
PO-001611,VND-044,580,54,350.88,2019-11-01
PO-001612,VND-088,606,228,128.67,2020-02-23
PO-001613,VND-082,382,87,82.54,2019-09-16
PO-001614,VND-102,570,58,110.19,2020-05-20
PO-001615,VND-070,601,172,209.41,2020-03-19
PO-001616,VND-079,530,61,377.27,01/28/2023
PO-001617,VND-049,444,129,199.86,09/24/2012
PO-001618,VND-013,231,128,$239.62,2015-05-31
PO-001619,VND-107,211,71,214.69,2021-07-29
PO-001620,VND-003,552,99,289.05,2023-06-04
PO-001621,VND-054,430,77,$223.8,2013-09-30
PO-001622,VND-102,558,163,422.01,2017-03-27
PO-001623,VND-114,408,118,465.72,02/04/2020
PO-001624,VND-042,214,211,255.29,2024-03-15
PO-001625,VND-056,589,184,232.78,2013-06-18
PO-001626,VND-005,515,141,167.68,2021-02-15
PO-001627,VND-053,353,202,$18.63,2011-09-27
PO-001628,VND-037,597,195,$101.37,2016-07-15
PO-001629,VND-092,517,169,$478.71,2017-02-05
PO-001630,VND-115,554,177,365.54,04/02/2013
PO-001631,VND-030,237,65,,2020-09-26
PO-001632,,482,182,330.56,12/25/2019
PO-001633,VND-090,388,10,283.1,01/25/2012
PO-001634,VND-055,549,192,453,2020-05-09
PO-001635,VND-021,361,198,253.46,2011-11-21
PO-001636,VND-036,384,54,41.97,2018-05-20
PO-001637,VND-092,303,241,,2021-09-21
PO-001638,VND-012,492,26,N/A,03/11/2023
PO-001639,VND-020,590,175,424.56,2022-02-11
PO-001640,VND-064,581,42,271,2014-01-13
PO-001641,VND-018,372,118,N/A,2012-12-24
PO-001642,VND-096,284,156,220.89,01/24/2014
PO-001643,VND-041,519,19,395.37,2019-04-07
PO-001644,VND-016,578,32,$499.38,2022-03-14
PO-001645,VND-040,246,61,171.08,2014-05-28
PO-001646,VND-059,579,18,130.37,2020-03-20
PO-001647,VND-025,603,190,42.15,2014-10-01
PO-001648,VND-099,258,120,300.62,2019-02-24
PO-001649,VND-049,519,73,491.08,2022-09-04
PO-001650,,353,161,173.66,2012-04-23
PO-001651,VND-050,539,38,N/A,2020-01-06
PO-001652,VND-053,513,168,186.64,2012-12-08
PO-001653,VND-091,240,220,476,2011-03-07
PO-001654,,506,245,445,2015-12-28
PO-001655,VND-071,523,27,N/A,2011-11-28
PO-001656,VND-083,255,249,$54.64,2020-03-27
PO-001657,,514,129,65.25,02/26/2014
PO-001658,VND-021,551,45,145.53,2014-08-14
PO-001659,VND-022,544,156,152.09,2021-07-25
PO-001660,,602,116,62.33,2013-01-25
PO-001661,VND-034,498,212,N/A,04/13/2013
PO-001662,VND-107,523,43,$267.65,2015-05-11
PO-001663,VND-059,484,180,189,03/04/2011
PO-001664,VND-083,604,62,463.68,2023-06-26
PO-001665,,486,74,,2012-08-19
PO-001666,VND-011,566,195,382.25,05/22/2018
PO-001667,VND-036,483,105,$147.48,02/22/2013
PO-001668,VND-025,290,173,307.07,2013-11-21
PO-001669,VND-068,553,248,497.72,2015-12-24
PO-001670,VND-092,380,211,364.07,2024-02-15
PO-001671,VND-033,594,148,408.09,2016-08-14
PO-001672,VND-108,505,79,15.32,09/22/2018
PO-001673,VND-101,210,155,295,2015-03-09
PO-001674,VND-022,543,140,191.74,2017-09-07
PO-001675,VND-062,471,194,224.81,2019-09-18
PO-001676,VND-060,516,58,282.27,2019-12-14
PO-001677,VND-123,442,132,242.06,2023-05-18
PO-001678,VND-085,511,78,419.5,10/07/2024
PO-001679,VND-112,214,173,373.25,01/17/2015
PO-001680,VND-071,211,71,356.17,2014-11-27
PO-001681,VND-054,563,137,231.98,06/04/2018
PO-001682,VND-053,400,145,$12.4,2024-02-13
PO-001683,VND-033,605,169,398.44,2019-04-11
PO-001684,VND-031,290,138,,2017-07-12
PO-001685,VND-038,225,36,199.19,09/05/2019
PO-001686,VND-060,386,76,312,2024-11-04
PO-001687,,295,139,,2013-12-09
